"DIM2","County","DIM3","Sex","DIM4","Age group","TIME","Reference period","Value","Flag Codes","Flags"
"00","Whole country","K","Males and females","999","Age groups total","1990","1990",1570599,,
"00","Whole country","K","Males and females","999","Age groups total","1991","1991",1567749,,
"00","Whole country","K","Males and females","999","Age groups total","1992","1992",1554878,,
"00","Whole country","K","Males and females","999","Age groups total","1993","1993",1511303,,
"00","Whole country","K","Males and females","999","Age groups total","1994","1994",1476952,,
"00","Whole country","K","Males and females","999","Age groups total","1995","1995",1448075,,
"00","Whole country","K","Males and females","999","Age groups total","1996","1996",1425192,,
"00","Whole country","K","Males and females","999","Age groups total","1997","1997",1405996,,
"00","Whole country","K","Males and females","999","Age groups total","1998","1998",1393074,,
"00","Whole country","K","Males and females","999","Age groups total","1999","1999",1379237,,
"00","Whole country","K","Males and females","999","Age groups total","2000","2000",1401250,,
"00","Whole country","K","Males and females","999","Age groups total","2001","2001",1392720,,
"00","Whole country","K","Males and females","999","Age groups total","2002","2002",1383510,,
"00","Whole country","K","Males and females","999","Age groups total","2003","2003",1375190,,
"00","Whole country","K","Males and females","999","Age groups total","2004","2004",1366250,,
"00","Whole country","K","Males and females","999","Age groups total","2005","2005",1358850,,
"00","Whole country","K","Males and females","999","Age groups total","2006","2006",1350700,,
"00","Whole country","K","Males and females","999","Age groups total","2007","2007",1342920,,
"00","Whole country","K","Males and females","999","Age groups total","2008","2008",1338440,,
"00","Whole country","K","Males and females","999","Age groups total","2009","2009",1335740,,
"00","Whole country","K","Males and females","999","Age groups total","2010","2010",1333290,,
"00","Whole country","K","Males and females","999","Age groups total","2011","2011",1329660,,
"00","Whole country","K","Males and females","999","Age groups total","2012","2012",1325217,,
"00","Whole country","K","Males and females","999","Age groups total","2013","2013",1320174,,
"00","Whole country","K","Males and females","999","Age groups total","2014","2014",1315819,,
"00","Whole country","K","Males and females","999","Age groups total","2015","2015",1313271,,
"00","Whole country","K","Males and females","999","Age groups total","2016","2016",1315944,,
"00","Whole country","K","Males and females","999","Age groups total","2017","2017",1315635,,
"37","Harju county","K","Males and females","999","Age groups total","1990","1990",607158,,
"37","Harju county","K","Males and females","999","Age groups total","1991","1991",604730,,
"37","Harju county","K","Males and females","999","Age groups total","1992","1992",597828,,
"37","Harju county","K","Males and females","999","Age groups total","1993","1993",574063,,
"37","Harju county","K","Males and females","999","Age groups total","1994","1994",561859,,
"37","Harju county","K","Males and females","999","Age groups total","1995","1995",553193,,
"37","Harju county","K","Males and females","999","Age groups total","1996","1996",544736,,
"37","Harju county","K","Males and females","999","Age groups total","1997","1997",535500,,
"37","Harju county","K","Males and females","999","Age groups total","1998","1998",531353,,
"37","Harju county","K","Males and females","999","Age groups total","1999","1999",528109,,
"37","Harju county","K","Males and females","999","Age groups total","2000","2000",536470,,
"37","Harju county","K","Males and females","999","Age groups total","2001","2001",533710,,
"37","Harju county","K","Males and females","999","Age groups total","2002","2002",532800,,
"37","Harju county","K","Males and females","999","Age groups total","2003","2003",533820,,
"37","Harju county","K","Males and females","999","Age groups total","2004","2004",536830,,
"37","Harju county","K","Males and females","999","Age groups total","2005","2005",540730,,
"37","Harju county","K","Males and females","999","Age groups total","2006","2006",542030,,
"37","Harju county","K","Males and females","999","Age groups total","2007","2007",544170,,
"37","Harju county","K","Males and females","999","Age groups total","2008","2008",547840,,
"37","Harju county","K","Males and females","999","Age groups total","2009","2009",552060,,
"37","Harju county","K","Males and females","999","Age groups total","2010","2010",556650,,
"37","Harju county","K","Males and females","999","Age groups total","2011","2011",562230,,
"37","Harju county","K","Males and females","999","Age groups total","2012","2012",566741,,
"37","Harju county","K","Males and females","999","Age groups total","2013","2013",567967,,
"37","Harju county","K","Males and females","999","Age groups total","2014","2014",572103,,
"37","Harju county","K","Males and females","999","Age groups total","2015","2015",575601,,
"37","Harju county","K","Males and females","999","Age groups total","2016","2016",576265,,
"37","Harju county","K","Males and females","999","Age groups total","2017","2017",582556,,
"784","..Tallinn","K","Males and females","999","Age groups total","1990","1990",479666,,
"784","..Tallinn","K","Males and females","999","Age groups total","1991","1991",476591,,
"784","..Tallinn","K","Males and females","999","Age groups total","1992","1992",470299,,
"784","..Tallinn","K","Males and females","999","Age groups total","1993","1993",449688,,
"784","..Tallinn","K","Males and females","999","Age groups total","1994","1994",438346,,
"784","..Tallinn","K","Males and females","999","Age groups total","1995","1995",429563,,
"784","..Tallinn","K","Males and females","999","Age groups total","1996","1996",421249,,
"784","..Tallinn","K","Males and females","999","Age groups total","1997","1997",413851,,
"784","..Tallinn","K","Males and females","999","Age groups total","1998","1998",408238,,
"784","..Tallinn","K","Males and females","999","Age groups total","1999","1999",404091,,
"784","..Tallinn","K","Males and females","999","Age groups total","2000","2000",402390,,
"784","..Tallinn","K","Males and females","999","Age groups total","2001","2001",400090,,
"784","..Tallinn","K","Males and females","999","Age groups total","2002","2002",396490,,
